2025-12-10 13:14:53 [GPU-PF] Error: 0.43 m | StdDev: 4.96 m | Neff: 1998 | ResRaw[Mean:0.0 Std:2.7] | Meas[N:10000 Mean:-109.4 Std:0.3] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.12 m | StdDev: 4.94 m | Neff: 1993 | ResRaw[Mean:0.0 Std:2.7] | Meas[N:10000 Mean:-110.7 Std:0.4] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.02 m | StdDev: 4.90 m | Neff: 1988 | ResRaw[Mean:-0.0 Std:2.8] | Meas[N:10000 Mean:-110.6 Std:0.7] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.07 m | StdDev: 4.87 m | Neff: 1980 | ResRaw[Mean:-0.0 Std:2.8] | Meas[N:10000 Mean:-110.3 Std:0.7] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.10 m | StdDev: 4.85 m | Neff: 1971 | ResRaw[Mean:-0.0 Std:2.9] | Meas[N:10000 Mean:-110.5 Std:0.8] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.17 m | StdDev: 4.84 m | Neff: 1961 | ResRaw[Mean:0.0 Std:2.8] | Meas[N:10000 Mean:-110.1 Std:0.6] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.40 m | StdDev: 4.84 m | Neff: 1946 | ResRaw[Mean:0.0 Std:2.9] | Meas[N:10000 Mean:-111.5 Std:0.7] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.43 m | StdDev: 4.84 m | Neff: 1930 | ResRaw[Mean:0.0 Std:3.0] | Meas[N:10000 Mean:-110.6 Std:0.8] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.71 m | StdDev: 4.84 m | Neff: 1911 | ResRaw[Mean:-0.0 Std:3.1] | Meas[N:10000 Mean:-110.5 Std:1.1] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 0.74 m | StdDev: 4.84 m | Neff: 1875 | ResRaw[Mean:-0.0 Std:3.1] | Meas[N:10000 Mean:-110.7 Std:0.6] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:14:53 [GPU-PF] Error: 1.14 m | StdDev: 4.86 m | Neff: 1825 | ResRaw[Mean:-0.0 Std:3.2] | Meas[N:10000 Mean:-110.5 Std:0.5] | Diff[Mean:-0.0 Std:0.0]
